Part Number;Req numero;Req status;Req data;qtd;Valor unitario;IGPM acumulado
DCN4-6274;LS4121038GL;Recebida no Solicitante;2004-04;2000;5,10;2,52186664
DCN4-6274;LS3288200GL;Recebida no Solicitante;2003-10;1500;5,20;2,62908559
DCN4-6274;LS1312311GL;Recebida no Solicitante;2001-11;1000;5,32;3,57485630
DCN4-6274;LS0400389GL;Recebida no Solicitante;2000-09;1800;2,20;3,99074858
DCN3-975;AFA170017A7;Recebida no Solicitante;2007-06;400;0,70;2,16676154
DCN3-975;GL4090002A3;Recebida no Solicitante;2004-03;1000;0,96;2,55036373
DCN4-2185;SP4043301F5;Recebida no Solicitante;2004-02;100;2,80;2,56796124
DCN4-1204;RF5144018F3;Recebida no Solicitante;2005-05;500;8,10;2,24990278
DCN4-3966;LS5068003U8;Recebida no Solicitante;2005-03;50;6,40;2,28854059
DCN4-8119;RF3105023F3;Recebida no Solicitante;2003-04;30;0,80;2,64972323
DCN4-6522;RF2129033F3;Recebida no Solicitante;2002-05;100;2,65;3,49072735
DCN4-6522;RF0215070F3;Recebida no Solicitante;2000-08;90;2,50;4,08612747
DCN4-7750;SP2109339A1;Recebida no Solicitante;2002-04;100;1,60;3,51027543
DCN4-7750;SP1082319A1;Recebida no Solicitante;2001-03;80;0,50;3,86127922
DCN4-9942;LSF319135T9;Mapa Aprovado;2012-11;100;5,63;1,50458219
DCN3-1542-4;LSC085007T9;Recebida no Solicitante;2009-03;1000;7,05;1,85665404
DCN3-5451;RF6335001F7;Recebida no Solicitante;2006-12;300;3,95;2,19966823
DCN3-5451;SP1075373A1;Recebida no Solicitante;2001-03;470;0,36;3,86127922
DCN4-5173;LS5053361T9;Recebida no Solicitante;2005-02;1500;4,30;2,29540621
DCN4-5173;LS4058447T9;Recebida no Solicitante;2004-02;500;4,75;2,56796124
DCN4-5173;LS8287433C3;Recebida no Solicitante;1999-02;5000;0,28;5,09956078
DCN3-10046;LS4146003T1;Recebida no Solicitante;2004-05;40;71,60;2,49171686
DCN3-10046;LS0290005T1;Recebida no Solicitante;2000-10;100;33,80;3,94498673
DCN4-10430;AF2068001CF;Recebida no Solicitante;2002-03;50;80,00;3,51343468
DCN4-2589;LSK213015A7;Controle de Qualidade;2017-08;5;3321,50;1,18477509
DCN4-2589;AF5196006A7;Recebida no Solicitante;2005-07;20;750,00;2,26482873
DCN4-8487;RFC068043R1;Recebida no Solicitante;2009-03;100;742,87;1,85665404
DCN4-8487;RFB083038R1;Recebida no Solicitante;2008-03;110;742,87;2,00245848
DCN4-8487;RFA249001R1;Recebida no Solicitante;2007-09;40;742,87;2,13419317
DCN4-8487;LSA083017T2;Recebida no Solicitante;2007-03;100;742,87;2,17586818
DCN4-8487;RF5108018R1;Recebida no Solicitante;2005-04;84;696,49;2,26925194
DCN4-8487;RF4331304R1;Recebida no Solicitante;2004-11;6;696,49;2,34044611
DCN4-8487;RF4131084R1;Recebida no Solicitante;2004-05;70;832,75;2,49171686
DCN4-8487;RF1281302R1;Recebida no Solicitante;2001-10;100;624,00;3,61703960
DCN4-8487;RF0245301R1;Recebida no Solicitante;2000-09;100;425,75;3,99074858
DCN4-8487;RF9174304R1;Recebida no Solicitante;1999-06;80;398,49;4,76650387
DCN4-8997;LS6257114T1;Recebida no Solicitante;2006-09;100;13,00;2,23303880
DCN4-4858;LS0400500U7;Recebida no Solicitante;2000-09;70;7,00;3,99074858
DCN3-10268;RF0203018F3;Recebida no Solicitante;2000-07;50;54,50;4,15027967
